rname,N_infty per mole parent,uncertainty,min_N_infty
Nd145-172,513853.1962165409,9819.574451463543,108.0046606502634
Nd146-24,3005414.782075318,53109.42372904014,385.0158031240198
Nd146-34,458499.91859921406,7459.173758128521,102.43302436938016
Nd146-163,35922.77795711677,973.7384649110335,3.772420429773359
Nd146-170,42730.25204087384,1108.85149156251,4.896148617434576
Nd146-173,227959.63827063574,4572.202546962234,43.72380546406463
Nd146-107,840206.0524898975,11597.597354223151,271.41130749109044
Nd148-24,691525.9455782312,10013.461583578894,132.70302856607628
Nd150-165,386958.9278022771,6644.434524170294,97.86115156803113
Sm144-186,1220.6007261649083,131.93721634828356,0.008060145904616282
Sm144-112,3882.3324986046023,242.85884558640586,0.039435193467634265
Sm147-181,41731.47074143225,1089.1459121551604,4.726903744680121
Sm147-189,2262.261094266199,181.8979127176972,0.026181344148568757
Sm148-196,2990.3484324234087,210.94261236059344,0.04636942843420812
Eu151-195,4807.620935964231,273.1167349098314,0.11494471257890063
Tm169-16,1747959661.5153418,4894722.28206102,19668461.61956712
Tm169-17,1464742746.2213652,19261441.421381567,381335.8275137164
Yb170-11,837752.8235316548,123862.59391672155,2.435316153145463
Yb170-42,2439647.0671568764,358370.6377378526,7.489135049746729
Yb171-154,1597852.2764877842,235137.74511149767,4.5091451849896735
Yb171-156,5615400.038229035,823275.7727895747,20.03492901251507
Yb171-157,2371644.610249292,348415.5808036769,8.363638389098975
Yb171-42,9667208.122055685,165335.32394207414,2134.636074953379
Yb172-156,6913204.427668939,138134.6095070029,1332.3507358253187
Yb172-162,1867242.4373247034,274574.69563015876,6.663096514250311
Yb172-169,937712.6608928695,138496.5304286779,3.316855063942714
Yb172-172,1130569.8923070414,166730.1553782109,3.995599496982983
Lu175-165,10203334.053939022,170252.71066109877,2806.5505043094504
Lu175-166,3908870.311728358,573453.5482685828,14.013590394077912
W186-102,20828429393.119038,72347779.77795869,335777128.72981644
Re187-103,12106474.874634288,79913.78478627198,9979.08464314801
Os190-34,382873.9422471052,5692.481126662484,117.69743036170789
Os190-107,1619611.9199237856,15302.20947700419,898.6056411662324
Os192-24,2820460.3346622367,23149.846029895674,1760.1582824720763
Os192-177,329746.65218801075,5123.5694985203845,105.38792559893851
Au197-102,248729886702.63678,1044295119.120028,20041276074.796867
Bi209-17,1539959666.7772658,25834577.03004317,271132.75393221504
