rname,0,1,2,3,4,5,6,7,8,9,10
Fe58-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.943538053138017e-11,1.724292197222093e-05,2.822037778355622e-05
Fe58-41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.414227107558939e-05,0.0001293990266942057
Fe58-105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.451704101067202e-07,5.205638118326195e-06,2.5126654978983286e-06
Co59-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010438749441469936,0.13397062005209037,0.07019456599318713
Co59-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.713752524674465e-14,0.013032553671704118,0.01574222824187446
Co59-34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00047497908308140855,0.0022278313549684756
Co59-183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.343452442614688e-05,0.0014290659261867046
Co59-190,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0659371075666684e-05,0.005376284109469465
Co59-102,30.75307092828358,7.872922709008766,2.9757820954729737,1.5698792431454365,1.6691553222122821,5.057334887823763,0.00665627548960457,0.0009980130979039621,0.0003688563475978904,6.50000841452346e-05,2.6696690225380506e-05
Co59-103,0.0,0.0,0.0,0.0,0.0,0.0,3.225693251325984e-09,0.008641055272877327,0.026144085591365936,0.011242335476883457,0.00493051140276385
Co59-107,0.0,0.0,0.0,0.0,0.0,0.0,1.3446061396004159e-09,0.0021832280078408106,0.014071674482859623,0.0025132299162420628,0.0002958317600782141
Co59-116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5860138285750258e-21,7.465208318425388e-05,0.0002479611038003316
Ni58-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01449386164141429,0.02372921681561542,0.007983089797319815
Ni58-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.591535741477996e-05,0.2220145229642672,0.1893103819987205,0.08384675432172081
Ni58-197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7142786048503302e-15,0.0002928474085550361,0.0005285825555709148
Ni58-104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010259251982501444,0.008579134180284283,0.016048341929117825,0.009224748802188106
Ni58-112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.232830602763639e-15,0.002930628532398031,0.028390345044486343,0.006853459447344967
Ni60-37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.80262000503312e-05,0.00048393264794406056
Ni60-42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015556786287685975,0.02188467486798425
Ni60-186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4995829668767913e-10,7.033052015870381e-05
Ni60-112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8360851407712872e-20,1.244314403704323e-06,0.0004159249934608841,0.00014406106319108685
Ni61-45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.481273105395554e-18,8.746798332209114e-06,2.7113145006353807e-05
Ni62-158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4266415063249926e-08,7.00258138660379e-06
Ni62-159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.185534482205005e-08,6.417275621889585e-05
Cu63-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19273904313916715,0.13538995241850457,0.05366954355772857
Cu63-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005442152937074688,0.010471666384576266
Cu63-102,2.557060844632461,0.6522473224414119,0.24087640526873072,0.11721018044188652,0.036479640575278305,0.6072383329133062,0.009609472304568522,0.00205208410446063,0.001113953430641851,0.00042743186791132824,0.0001899322977576351
Cu63-108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4528641939226254e-19,1.3626949101156957e-07,9.051057627323502e-05,3.4655757904535477e-05
Cu65-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1474042141788449,0.047506708387566834,0.009823784096231638
Cu65-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6391447838520403e-08,5.9894847997778225e-05
Cu65-37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035294867062198193,0.017747538678151827
Zn64-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6536846192023197e-07,0.003975587505668336,0.0057695721443071476
Zn64-41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.300244182214474e-07,0.0566772427530408,0.05410581847852055
Zn64-103,0.0,0.0,0.0,0.0,0.0,0.0,2.0954435051932176e-06,0.04705783240621658,0.04604915846592797,0.010267491589257357,0.003995179695621187
Zn64-105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00025428608220527806,0.002888659019720202,0.0014070690050349691
Zn66-154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6842092675317523e-05,0.0005949827166045014
Zn66-156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4633185233924681e-08,0.00354485089424836
